code|name
PE407|Quantitative Techniques
PE409|CNC Machine & Programming
PE411|Computer Integrated Design and Manufacturing
PE413|Robotics and Automation
PE415|Financial Management
PE417|Materials Management
PE419|Project Management
PE421|Reliability, Maintenance & Safety Engineering
PE423|Thermal Spray Technology
PE404|Total Quality Management
PE406|Manufacturing & Applications of Polymer Composites
PE408|Industrial Tribology
PE412|Supply Chain Management & Value Engineering
PE414|Flexible Manufacturing System
PE416|Work Study & Ergonomic
PE418|Advance Manufacturing Processes
EC271|Digital Electronics
SE201|Data Structures
SE203|Object Oriented Programming
SE205|Operating System
SE207|Engineering Analysis and Design(Software Engineering)
EC272|Computer System Architecture
SE202|Object Oriented Software Engineering
SE204|Machine Learning
SE206|Database Management Systems
SE208|Algorithm Design & Analysis
SE301|Software Testing
SE303|Software Quality Metrics
HU301|Engineering Economics
SE302|Empirical Software Testing
SE304|Computer Networks
SE306|Compiler Design
MG302|Fundamentals of Management
SE401|B.Tech. Project-I
SE403|Training Seminar
SE402|B.Tech. Project-II
SE305|Software Requirement Engineering
SE307|Computer Graphics
SE309|Information Theory and coding
SE311|Digital Signal Processing
SE313|Advanced Data Structures
SE315|Microprocessor & Interfacing
SE317|Distributed Systems
SE319|Soft Computing
SE321|Artificial Intelligence
SE323|Theory of Computation
SE325|Web Technology
SE327|Methods for Data Analysis
SE329|Predictive Modeling
SE333|Minor Project (Only for students who opt for Minor)
SE308|Software Reliability
SE312|Parallel Computer Architecture
SE314|Bio-Informatics
SE316|Natural Language Processing
SE318|Advanced Database Management Systems
SE320|Data Compression
SE322|Real Time Systems
SE324|Parallel Algorithms
SE326|Probability and Statistics
SE328|Business Analytics
SE409|Software Maintenance
SE411|Discrete Structures
SE413|Grid & Cluster Computing
SE415|Pattern Recognition
SE417|Agile Software Process
